,title,price,location,description,link,Kilométrage,Couleur du véhicule,Etat du véhicule,Année,Cylindrée,Boite,Marque,Modèle,Puissance fiscale,Type de carrosserie,Carburant
0,👉GOLF 7 BVA 2020💎 ❤️👌,0.0,Tunis,"Golf 7 boite auto 💎 voiture très très propre comme neuve ❤️👌 ☑️➡ année 1/2020⛽️ énergie :essence 6 cv. 1197 cm3 ✌ 100000 km 🏠⛳Voiture visible dans notre Show-Room HBIB AUTO route de la Marsa en face carrefour pour visite heure travail de 10.00 H jusqu’à 19:00H👌 ☑️➡ volant Multifonctions ☑️➡ Radar de recul ☑️➡ écran qui affiche toute les options de la voiture . ☑️➡ retro electrique Chauffaut ☑️➡ salon tout en cuir rouge cerise . ☑️➡ couleur extérieur : noir .☑️➡ jantes allum 17 ‘’ avec des pneus Run- flat ☑️➡☎️-📲 TEL Afficher//// Afficher ⛔📵🕢SVP pas de dérangement après 19.00H ⛔️ Pour les sérieux, Curieux s’abstenir",https://www.tayara.tn/item/64196dd740a1c5493b8262fe/,100000.0,Noir,Nouveau,2020,1.2L,Automatique,Volkswagen,Golf 7,6.0,Utilitaire,Essence
1,👉BMW 418 i KIT M GRAN COUPE🚘❤️👌,0.0,Tunis,"👉bmw 418 i KIT M 💎 voiture très très propre comme neuve ❤️👌 ☑️➡ année 9/2019⛽️ énergie :essence 7c✌ 90000 km 🏠⛳Voiture visible dans notre Show-Room HBIB AUTO route de la Marsa en face carrefour pour visite heure travail de 08:30 H jusqu’à 19:00H👌 ☑️➡ toit ouvrant électrique . ☑️➡ Sono harman kardon ☑️➡ volant Multifonctions M avec palettes. ☑️➡ camera de recul avec radar av/ ar keyless go ☑️➡ grand écran qui affiche toute les options de la voiture . ☑️➡ retro electrique rabatable ☑️➡ salon tout en alcantara. ☑️➡ couleur extérieur bleu électrique M ☑️➡ malle arriere electrique hayon. ☑️➡ jantes allum 18’’ avec des pneus Run- flat ☑️➡☎️-📲 TEL Afficher//// Afficher ⛔📵🕢SVP pas de dérangement après 19.00H ⛔️ Pour les sérieux, Curieux s’abstenir",https://www.tayara.tn/item/64196f5140a1c5493b82636a/,90000.0,Bleu,Avec kilométrage,2019,1.6L,Automatique,BMW,Serie 4,7.0,Berline,Essence
2,"Kia rio coupée
1ére main
",0.0,Sfax,"Kia rio coupée 1ére main ✅ Voiture en excellent état ⛔ Puissance fiscale : 5cv ⛔ Date de mise en circulation : 2014 ⛔ Boite : manuelle boite 5 Options : ➡️klm 160000 ➡️ radar de recule arrière ➡️ Bluetooth , Aux , USB ➡ Regulateur de vitesse ➡ Climatisation automatique bizone ➡️ volant multifonctions ",https://www.tayara.tn/item/64031f5107b6d5262f84520f/,167000.0,Rouge,Nouveau,2014,1.2L,Manuelle,Kia,Rio,5.0,Compacte,Essence
3,Ds 3 ,28500.0,Tunis,Voiture en très bon état. À ne pas rater ,https://www.tayara.tn/item/641f1398f87420510e5707ba/,141500.0,Multicolore,Avec kilométrage,2012,1.1L,Manuelle,Citroen,DS3,5.0,Autres,Essence
4,👉 𝐌𝐚𝐳𝐝𝐚 𝟑 💎dossier leasing 𝟐𝟎𝟏𝟗 🚘❤️👌,0.0,Tunis,"🆕 A VENDRE 🚘 👑 Mazda 3 Skyactiv High grade sous dossier leasing Voiture encore sous garantie 💰💲PRIX : 55 000 DT en premier dépôt avec 1617 milles chaque mois pendant 10 mois ✌🏠⛳Voiture visible dans notre Show-Room HBIB AUTO route de la Marsa en face carrefour pour visite heure travail de 08:30 H jusqu'à 19:00H 🚫 Svp pas de dérangement après 19H00 ☎️ -📲 Tel : Afficher / Afficher ⛔️ Pour les sérieux, Curieux s'abstenir. 🚫 SVP Prix légèrement négociable. ✅➡Carte grise tunisienne TU 209 ✅➡Puissance : 6CV Essence ✅➡⛽️ Énergie : Essence. ✅➡Boîte Manuelle ✅➡Kilométrage : 77000 km seulement ✅➡Première Mise en circulation : 01/04/2019 ✅➡Toit ouvrant électrique ✅➡Couleur extérieure : Bleu nuit ✅➡Couleur intérieure: cuir en blanc sale ✅➡ Feux Bi xénon full LED ✅➡Sièges électriques sport ✅➡Sonorisation Bose, affranchissement en ligne et détecteur d'obscurité, star stop ✅➡affiche en tête et vitres sur teintées origine ✅➡KEYLESS-GO ✅➡Retro rabattables électriques chauffants. 🚙🚕🚗🚙🚕🚗🚙🚕🚗🚙🚕🚗🚙🚕🚗🚙🚕🚗 ♫→ Écran avec souris qui affiche toutes les options de la voiture. ♫→Volant Multifonctions en cuir. ♫→Jantes Aluminium 18'' avec pneus Run Flat neuf ♫→Radar de recul Av/Ar avec caméra de recul ♫→Voiture presque neuve première main et encore sous garantie ₪💰💲 PRIX ☎️-📲 Tél : Afficher / Afficher ⛔️ SVP uniquement pour les sérieux, Curieux s'abstenir. 🚫 SVP Prix légèrement négociable. Échange possible uniquement avec Voiture de luxe et neuves",https://www.tayara.tn/item/64196be840a1c5493b826280/,77000.0,Bleu,Avec kilométrage,2019,1.5L,Manuelle,Mazda,3,6.0,Utilitaire,Essence
5,"Citroën Berlingo ehdi 6 vitesse maxi
voiture bon état zéro défaut l'année 2018/10 toutes optionss série 235",43500.0,Nabeul,Citroën Berlingo ehdi 6 vitesse maxi voiture bon état zéro défaut l'année 2018/10 toutes optionss série 235 Km 114000 3 place esp radar trou du cul écran tactile et GPS star stop climatiseur vitre électrique fermeture centrale régulateur de vitesse bluetooth poste d'origine plus 4 pneus neufs adresse Annabelle te Afficher,https://www.tayara.tn/item/640ae239ff75361c11d7391e/,117000.0,Gris,Avec kilométrage,2018,1.6L,Manuelle,Citroen,Berlingo,5.0,Utilitaire,Diesel
6,206+,22600.0,Ariana,Voiture en bon état Disponible a sabelt ben amar ariana Num tel: Afficher,https://www.tayara.tn/item/6420487240a1c5493b82f247/,111000.0,Noir,Nouveau,2010,3.0L,Automatique,Peugeot,206+,4.0,Compacte,Essence
7,a vendre BMW Serie 1 ,52000.0,Nabeul,"A vendre Bmw Serie 1 tt options avec toit ouvrant , radar de recule av/ar. Voiture en très bonne état , entretient à jour. Prix légerement négociable",https://www.tayara.tn/item/63e4c9b8bd9111a805834c4c/,158000.0,Noir,Avec kilométrage,2012,1.6L,Manuelle,BMW,Serie 1,6.0,Berline,Essence
8,"clio bombée câble (5)
en bonne état 🌹
مواصفات خليجيه
tél 28 019 437
4 chv 4 cilender ",18900.0,Monastir,tout options 4 vitre électrique avant et arrière 4 pneus neuf salon cuir neuf fermeture centralisée fermeture sécurisée volon assisté poste d'origine avec commande a volon climatisation glace voiture en bonne état 🌹 0 masrouf tout le entretien fait chaîne videng 3 filtres pompes visite 4 boujie حاجه نضيفه و سعرها معقول جدا ,https://www.tayara.tn/item/6420473240a1c5493b82f21c/,182000.0,Rouge,Avec kilométrage,2000,1.4L,Manuelle,Renault,Clio,4.0,Compacte,Essence
9,Mercedes-Benz 1ère main ✋️ ,1.0,Sfax,Mercedes-Benz voiture en peinture origine moteur impeccable essance tout option ,https://www.tayara.tn/item/642044b040a1c5493b82f1d2/,350000.0,Noir,Avec kilométrage,1998,1.6L,Manuelle,Mercedes-Benz,Classe E,9.0,Berline,Essence
